iso3,country,year,homicide_rate,gini,gdppc,pop,democracy,gini_interp,log_homicide,log_gdppc,gini_c,democracy_c,gini_x_dem
DEU,Germany,2015,0.83092148321361,31.4,3425099578746.09,81686611,8.64,31.4,-0.1732569845880589,28.862151661306545,-4.67347842124677,2.0768203198494835,-9.705974949623377
DEU,Germany,2016,1.163604165425,31.3,3501212900675.89,82348669,8.63,31.3,0.16007949711180866,28.884130567441996,-4.773478421246768,2.0668203198494837,-9.865922197395854
DEU,Germany,2016,0.386659743443406,31.3,3501212900675.89,82348669,8.63,31.3,-0.9246764352010044,28.884130567441996,-4.773478421246768,2.0668203198494837,-9.865922197395854
DEU,Germany,2017,0.97829217789703,31.3,3599173571724.7,82657002,8.61,31.3,-0.01177689833633895,28.911725371627096,-4.773478421246768,2.0468203198494823,-9.770452628970911
DEU,Germany,2017,0.358586800754385,31.3,3599173571724.7,82657002,8.61,31.3,-0.9980790435183822,28.911725371627096,-4.773478421246768,2.0468203198494823,-9.770452628970911
DEU,Germany,2018,0.945201062768242,31.9,3640049243667.4,82905782,8.68,31.9,-0.04583342373109967,28.923018325965742,-4.17347842124677,2.1168203198494826,-8.834503926548502
DEU,Germany,2018,0.356249639139807,31.9,3640049243667.4,82905782,8.68,31.9,-1.0044401039351487,28.923018325965742,-4.17347842124677,2.1168203198494826,-8.834503926548502
DEU,Germany,2019,0.745579302641966,32.2,3675639268112.03,83092962,8.68,32.2,-0.28027053568076143,28.93274818397239,-3.873478421246766,2.1168203198494826,-8.199457830593648
DEU,Germany,2019,0.409290724724803,32.2,3675639268112.03,83092962,8.68,32.2,-0.8691907459067486,28.93274818397239,-3.873478421246766,2.1168203198494826,-8.199457830593648
DEU,Germany,2020,0.935085587265765,32.5,3523764998709.97,83160871,8.67,32.5,-0.056479787054275435,28.890551135828243,-3.5734784212467687,2.106820319849483,-7.528676950426342
DEU,Germany,2020,0.370686102368782,32.5,3523764998709.97,83160871,8.67,32.5,-0.9657801217268451,28.890551135828243,-3.5734784212467687,2.106820319849483,-7.528676950426342
DEU,Germany,2021,0.830375419597212,33.6,3661544208117.2,83196078,8.67,33.6,-0.17390655889547121,28.928906089146928,-2.4734784212467673,2.106820319849483,-5.211174598591908
DEU,Germany,2021,0.33692930694448,33.6,3661544208117.2,83196078,8.67,33.6,-1.0586342461751006,28.928906089146928,-2.4734784212467673,2.106820319849483,-5.211174598591908
DEU,Germany,2022,0.815829208272123,33.7,3727790994177.62,83177813,8.8,33.7,-0.19136729648728965,28.946836947386704,-2.373478421246766,2.2368203198494836,-5.309044761369038
DEU,Germany,2022,0.336559279797392,33.7,3727790994177.62,83177813,8.8,33.7,-1.0597013933186237,28.946836947386704,-2.373478421246766,2.2368203198494836,-5.309044761369038
DNK,Denmark,2006,0.496559029834002,25.9,292651155542.909,5437272,9.52,25.9,-0.6801144174958365,26.402247141224997,-10.17347842124677,2.9568203198494825,-30.081147719492684
DNK,Denmark,2008,0.400454078520126,25.2,294307201413.926,5493621,9.52,25.2,-0.8904912235333057,26.407889961522635,-10.87347842124677,2.9568203198494825,-32.15092194338732
DNK,Denmark,2010,0.75704832266481,27.2,284093791186.593,5547683,9.52,27.2,-0.2652054774288866,26.37257027124389,-8.87347842124677,2.9568203198494825,-26.237281303688352
DNK,Denmark,2010,0.973347843426184,27.2,284093791186.593,5547683,9.52,27.2,-0.016792362398622553,26.37257027124389,-8.87347842124677,2.9568203198494825,-26.237281303688352
DNK,Denmark,2010,0,27.2,284093791186.593,5547683,9.52,27.2,-4.605170185988091,26.37257027124389,-8.87347842124677,2.9568203198494825,-26.237281303688352
DNK,Denmark,2011,0.825726922413442,27.3,287817703286.122,5570572,9.52,27.3,-0.17945336708926957,26.38559314196833,-8.773478421246768,2.9568203198494825,-25.9415992717034
